Player ID,Player Name,Net Synergy Profile
2544,LeBron James,2.468749999999993
101108,Chris Paul,0.3449999999999946
200768,Kyle Lowry,-0.1730769230769252
200782,P.J. Tucker,-6.737500000000008
201142,Kevin Durant,0.7187499999999982
201143,Al Horford,-0.1142857142857159
201144,Mike Conley,4.824999999999989
201145,Jeff Green,-1.166666666666673
201152,Thaddeus Young,-2.259999999999991
201565,Derrick Rose,2.3666666666666742
201566,Russell Westbrook,-5.646875000000004
201567,Kevin Love,2.8843749999999977
201568,Danilo Gallinari,-3.4875000000000007
201569,Eric Gordon,0.2583333333333388
201572,Brook Lopez,0.0500000000000085
201587,Nicolas Batum,-2.1277777777777747
201599,DeAndre Jordan,-5.416666666666657
201935,James Harden,-1.5357142857142827
201939,Stephen Curry,1.505555555555559
201942,DeMar DeRozan,0.0357142857142816
201950,Jrue Holiday,0.5500000000000143
201976,Patrick Beverley,-2.1785714285714275
201988,Patty Mills,-12.799999999999985
202066,Garrett Temple,2.2750000000000057
202083,Wesley Matthews,-0.3999999999999879
202330,Gordon Hayward,-3.138461538461541
202331,Paul George,2.9428571428571377
202397,Ish Smith,-4.674999999999994
202681,Kyrie Irving,2.988888888888885
202684,Tristan Thompson,3.969999999999993
202685,Jonas Valančiūnas,-0.3666666666666585
202687,Bismack Biyombo,0.641666666666661
202691,Klay Thompson,-2.3916666666666595
202692,Alec Burks,-2.241666666666665
202694,Marcus Morris Sr.,-1.6700000000000004
202695,Kawhi Leonard,2.425000000000002
202696,Nikola Vučević,-0.5499999999999954
202699,Tobias Harris,-2.0812499999999954
202704,Reggie Jackson,-1.8321428571428555
202709,Cory Joseph,3.950000000000003
202710,Jimmy Butler III,1.9874999999999956
202711,Bojan Bogdanovic,-4.474999999999997
202722,Davis Bertans,-3.729999999999998
203076,Anthony Davis,2.142857142857149
203078,Bradley Beal,-2.129166666666671
203081,Damian Lillard,2.106250000000003
203083,Andre Drummond,1.272499999999998
203084,Harrison Barnes,-5.849999999999994
203095,Evan Fournier,-2.3099999999999907
203109,Jae Crowder,-8.11249999999999
203110,Draymond Green,0.6761904761904807
203114,Khris Middleton,-5.237500000000003
203200,Justin Holiday,0.856249999999994
203468,CJ McCollum,-0.04999999999999
203471,Dennis Schröder,-2.399999999999991
203482,Kelly Olynyk,-0.6312500000000023
203484,Kentavious Caldwell-Pope,5.327499999999994
203486,Mason Plumlee,1.2312500000000006
203488,Mike Muscala,-6.866666666666679
203496,Robert Covington,-2.231249999999994
203497,Rudy Gobert,1.105000000000004
203501,Tim Hardaway Jr.,1.6999999999999986
203507,Giannis Antetokounmpo,0.2035714285714375
203552,Seth Curry,5.218750000000007
203897,Zach LaVine,-2.057500000000009
203903,Jordan Clarkson,1.279166666666666
203914,Gary Harris,1.7000000000000048
203915,Spencer Dinwiddie,5.364772727272734
203924,Jerami Grant,-0.7437499999999968
203926,Doug McDermott,-2.306249999999997
203932,Aaron Gordon,-0.2166666666666733
203935,Marcus Smart,4.480000000000002
203937,Kyle Anderson,-0.7843749999999963
203939,Dwight Powell,0.0374999999999967
203944,Julius Randle,3.4428571428571337
203952,Andrew Wiggins,-1.7723214285714322
203954,Joel Embiid,0.4650000000000009
203957,Dante Exum,2.941666666666663
203967,Dario Saric,-1.987500000000003
203991,Clint Capela,3.0833333333333286
203992,Bogdan Bogdanović,2.165625000000002
203994,Jusuf Nurkić,2.2906249999999977
203995,Vasilije Micic,-4.327499999999999
203999,Nikola Jokić,5.087499999999992
204001,Kristaps Porziņģis,-0.0312499999999946
204060,Joe Ingles,0.8916666666666713
204456,T.J. McConnell,3.0777777777777877
1626145,Tyus Jones,-1.1333333333333353
1626153,Delon Wright,2.614285714285716
1626156,D'Angelo Russell,1.4218750000000018
1626157,Karl-Anthony Towns,0.6458333333333369
1626158,Richaun Holmes,10.29999999999999
1626162,Kelly Oubre Jr.,-1.8875000000000015
1626164,Devin Booker,2.1916666666666678
1626166,Cameron Payne,-1.8937499999999967
1626167,Myles Turner,-2.453571428571423
1626168,Trey Lyles,-2.810714285714284
1626171,Bobby Portis,-0.7854166666666711
1626172,Kevon Looney,0.6041666666666607
1626174,Christian Wood,2.145833333333331
1626179,Terry Rozier,-0.9203124999999988
1626181,Norman Powell,-1.106250000000001
1626192,Pat Connaughton,-2.856249999999988
1626196,Josh Richardson,-3.381666666666669
1626204,Larry Nance Jr.,0.1791666666666671
1626220,Royce O'Neale,2.385416666666676
1626224,Cedi Osman,-5.17249999999999
1627734,Domantas Sabonis,1.0249999999999986
1627736,Malik Beasley,0.7166666666666733
1627739,Kris Dunn,-5.724999999999998
1627741,Buddy Hield,-3.2605555555555537
1627742,Brandon Ingram,0.2900000000000027
1627747,Caris LeVert,-0.5156249999999991
1627749,Dejounte Murray,-2.526666666666662
1627750,Jamal Murray,-2.293749999999997
1627751,Jakob Poeltl,0.1666666666666749
1627752,Taurean Prince,-2.155
1627759,Jaylen Brown,-3.6291666666666713
1627763,Malcolm Brogdon,3.343749999999992
1627777,Georges Niang,-0.5678571428571411
1627780,Gary Payton II,2.3607142857142875
1627783,Pascal Siakam,1.195535714285716
1627826,Ivica Zubac,-1.7299999999999958
1627827,Dorian Finney-Smith,-1.7364583333333268
1627832,Fred VanVleet,4.805555555555553
1627863,Danuel House Jr.,-0.1450000000000016
1627884,Derrick Jones Jr.,0.8499999999999996
1627936,Alex Caruso,2.1729166666666595
1628365,Markelle Fultz,3.3300000000000054
1628368,De'Aaron Fox,2.106249999999997
1628369,Jayson Tatum,2.168749999999996
1628370,Malik Monk,-2.905
1628371,Jonathan Isaac,5.012499999999997
1628372,Dennis Smith Jr.,2.0107142857142914
1628374,Lauri Markkanen,3.900000000000009
1628378,Donovan Mitchell,2.964285714285708
1628379,Luke Kennard,-2.519999999999992
1628380,Zach Collins,-2.216666666666663
1628381,John Collins,-2.4285714285714226
1628384,OG Anunoby,5.549999999999999
1628386,Jarrett Allen,0.6958333333333329
1628389,Bam Adebayo,-0.1200000000000031
1628392,Isaiah Hartenstein,3.7649999999999983
1628398,Kyle Kuzma,6.179999999999994
1628401,Derrick White,2.425000000000007
1628404,Josh Hart,2.28482142857142
1628415,Dillon Brooks,-0.354166666666669
1628418,Thomas Bryant,1.3374999999999932
1628420,Monte Morris,2.4937500000000004
1628426,Sasha Vezenkov,0.11249999999999
1628436,Luke Kornet,-0.4374999999999911
1628449,Chris Boucher,7.8350000000000035
1628464,Daniel Theis,-0.3291666666666645
1628467,Maxi Kleber,4.931249999999999
1628470,Torrey Craig,-1.3699999999999997
1628960,Grayson Allen,-0.3416666666666659
1628963,Marvin Bagley III,-0.0999999999999993
1628964,Mo Bamba,-1.1958333333333353
1628966,Keita Bates-Diop,-1.4583333333333297
1628969,Mikal Bridges,-0.5193750000000048
1628970,Miles Bridges,-1.2249999999999988
1628971,Bruce Brown,-1.7032051282051204
1628972,Troy Brown Jr.,0.4962499999999974
1628973,Jalen Brunson,3.66071428571428
1628975,Jevon Carter,0.5462499999999999
1628976,Wendell Carter Jr.,-1.0150000000000012
1628978,Donte DiVincenzo,-0.815000000000002
1628981,Bruno Fernando,-1.0300000000000011
1628983,Shai Gilgeous-Alexander,0.0607142857142821
1628984,Devonte' Graham,3.1500000000000057
1628988,Aaron Holiday,2.5093749999999955
1628989,Kevin Huerter,0.3999999999999986
1628991,Jaren Jackson Jr.,-0.6947916666666558
1628995,Kevin Knox II,-3.220833333333336
1628997,Caleb Martin,1.3952380952380987
1628998,Cody Martin,-0.2708333333333345
1629001,De'Anthony Melton,-0.7050000000000068
1629002,Chimezie Metu,-2.0187500000000047
1629003,Shake Milton,-2.6916666666666584
1629004,Svi Mykhailiuk,3.5750000000000064
1629006,Josh Okogie,-0.2249999999999914
1629008,Michael Porter Jr.,-0.2625000000000064
1629011,Mitchell Robinson,1.7416666666666814
1629012,Collin Sexton,-0.7104166666666611
1629013,Landry Shamet,1.681250000000004
1629014,Anfernee Simons,-1.6093750000000044
1629018,Gary Trent Jr.,-0.6749999999999972
1629020,Jarred Vanderbilt,0.7437499999999968
1629021,Moritz Wagner,-0.535000000000005
1629022,Lonnie Walker IV,0.1658333333333333
1629023,P.J. Washington,2.208333333333332
1629026,Kenrich Williams,0.4857142857142845
1629027,Trae Young,1.1875000000000075
1629028,Deandre Ayton,-0.8968750000000032
1629029,Luka Dončić,2.766071428571428
1629048,Goga Bitadze,3.980000000000001
1629052,Oshae Brissett,-0.3250000000000014
1629060,Rui Hachimura,1.3787500000000017
1629111,Jock Landale,5.306249999999992
1629130,Duncan Robinson,0.3937499999999971
1629139,Yuta Watanabe,-0.0249999999999985
1629162,Jordan McLaughlin,4.239583333333334
1629234,Drew Eubanks,-3.982142857142848
1629312,Haywood Highsmith,-0.4937499999999968
1629599,Amir Coffey,-8.469642857142857
1629611,Terance Mann,-3.421428571428568
1629614,Andrew Nembhard,-0.1285714285714251
1629622,Max Strus,1.375000000000007
1629626,Bol Bol,-0.5312500000000018
1629627,Zion Williamson,-0.6291666666666713
1629628,RJ Barrett,0.4562500000000061
1629629,Cam Reddish,-2.054166666666672
1629631,De'Andre Hunter,-0.4599999999999966
1629632,Coby White,2.0799999999999974
1629636,Darius Garland,-0.3437499999999946
1629637,Jaxson Hayes,-3.2924999999999978
1629638,Nickeil Alexander-Walker,0.5642857142857157
1629639,Tyler Herro,1.4357142857142913
1629640,Keldon Johnson,-1.1000000000000063
1629642,Nassir Little,-1.6312500000000032
1629651,Nic Claxton,-1.8178571428571464
1629652,Luguentz Dort,-4.700000000000007
1629655,Daniel Gafford,2.6624999999999925
1629656,Quentin Grimes,1.500000000000001
1629659,Talen Horton-Tucker,0.1958333333333435
1629661,Cameron Johnson,-0.9708333333333302
1629667,Jalen McDaniels,-5.150000000000006
1629670,Jordan Nwora,-6.112500000000001
1629673,Jordan Poole,-3.729166666666672
1629674,Neemias Queta,-5.5
1629675,Naz Reid,0.0812500000000033
1629680,Matisse Thybulle,2.0074999999999896
1629684,Grant Williams,-2.669791666666668
1629723,John Konchar,0.2000000000000161
1629726,Garrison Mathews,0.4466666666666671
1629731,Dean Wade,2.808749999999992
1630162,Anthony Edwards,0.2142857142857235
1630163,LaMelo Ball,0.9145833333333352
1630164,James Wiseman,-2.4374999999999973
1630165,Killian Hayes,-0.6541666666666691
1630166,Deni Avdija,0.9937499999999932
1630167,Obi Toppin,1.6149999999999978
1630168,Onyeka Okongwu,-3.123333333333322
1630169,Tyrese Haliburton,3.158333333333338
1630170,Devin Vassell,-0.7791666666666721
1630171,Isaac Okoro,-2.079166666666661
1630172,Patrick Williams,-2.3624999999999914
1630173,Precious Achiuwa,0.6189393939393837
1630174,Aaron Nesmith,-1.178124999999997
1630175,Cole Anthony,-0.5208333333333257
1630178,Tyrese Maxey,-4.997499999999992
1630180,Saddiq Bey,1.1166666666666718
1630182,Josh Green,-1.7388888888888958
1630183,Jaden McDaniels,-2.1111111111111094
1630188,Jalen Smith,0.2416666666666659
1630191,Isaiah Stewart,5.225000000000001
1630193,Immanuel Quickley,-0.6974999999999999
1630194,Paul Reed,-0.972916666666664
1630197,Aleksej Pokusevski,0.1166666666666742
1630198,Isaiah Joe,1.0100000000000005
1630200,Tre Jones,1.704999999999997
1630201,Malachi Flynn,-0.575000000000006
1630202,Payton Pritchard,2.3666666666666814
1630205,Lamar Stevens,5.550000000000004
1630208,Nick Richards,-0.3166666666666635
1630209,Omer Yurtseven,-3.3833333333333284
1630214,Xavier Tillman,1.1950000000000052
1630215,Jared Butler,-0.524999999999995
1630217,Desmond Bane,1.0270833333333378
1630219,Skylar Mays,-2.800000000000012
1630224,Jalen Green,-0.1187500000000009
1630228,Jonathan Kuminga,-1.049107142857136
1630230,Naji Marshall,2.5649999999999933
1630231,KJ Martin,2.4749999999999943
1630235,Trent Forrest,-2.449999999999998
1630241,Sam Merrill,-2.056250000000001
1630245,Ayo Dosunmu,-0.749999999999992
1630249,Vít Krejčí,2.8100000000000023
1630256,Jae'Sean Tate,3.87416666666667
1630346,Matt Ryan,-3.4000000000000057
1630527,Brandon Boston,-6.250000000000007
1630529,Herbert Jones,1.8512499999999943
1630530,Trey Murphy III,0.2708333333333297
1630531,Jaden Springer,-18.249999999999982
1630532,Franz Wagner,2.229761904761906
1630533,Ziaire Williams,-3.008333333333326
1630534,Ochai Agbaji,-0.2374999999999946
1630537,Chris Duarte,-7.016666666666673
1630538,Bones Hyland,-0.530000000000004
1630540,Miles McBride,-3.4833333333333334
1630541,Moses Moody,1.7055555555555606
1630543,Isaiah Jackson,1.3958333333333393
1630544,Tre Mann,-0.1399999999999977
1630549,Day'Ron Sharpe,2.587500000000001
1630550,JT Thor,2.7716666666666683
1630552,Jalen Johnson,1.791666666666681
1630557,Corey Kispert,-2.4937500000000017
1630558,Davion Mitchell,-0.7450000000000054
1630559,Austin Reaves,-1.4285714285714315
1630560,Cam Thomas,-1.422619047619044
1630567,Scottie Barnes,-0.8031250000000041
1630570,Trendon Watford,-2.940277777777781
1630573,Sam Hauser,1.0437500000000046
1630577,Julian Champagnie,-0.6862499999999969
1630578,Alperen Sengun,0.5112499999999975
1630579,Jericho Sims,0.2500000000000028
1630581,Josh Giddey,-1.930000000000005
1630583,Santi Aldama,-0.7400000000000038
1630587,Isaiah Livers,-4.391666666666662
1630590,Scotty Pippen Jr.,-1.9958333333333216
1630591,Jalen Suggs,-1.3458333333333337
1630592,Jalen Wilson,5.246875000000005
1630595,Cade Cunningham,-0.3164285714285739
1630596,Evan Mobley,-1.3312500000000045
1630598,Aaron Wiggins,1.362499999999995
1630625,Dalano Banton,-3.2875000000000014
1630631,Jose Alvarado,3.443750000000003
1630649,Stanley Umude,10.5
1630692,Jordan Goodwin,-0.4138888888888835
1630699,MarJon Beauchamp,-0.9958333333333385
1630700,Dyson Daniels,0.9749999999999966
1630702,Jaden Hardy,-5.107142857142859
1630703,Scoot Henderson,-3.165000000000002
1631093,Jaden Ivey,0.9145833333333352
1631094,Paolo Banchero,-1.937499999999996
1631095,Jabari Smith Jr.,-1.1321428571428664
1631096,Chet Holmgren,2.049999999999995
1631097,Bennedict Mathurin,3.555555555555558
1631098,Johnny Davis,-4.768750000000006
1631099,Keegan Murray,-0.6166666666666718
1631101,Shaedon Sharpe,1.600000000000005
1631103,Malaki Branham,-2.5794642857142893
1631104,Blake Wesley,-3.329166666666662
1631105,Jalen Duren,-1.0562500000000012
1631106,Tari Eason,2.878571428571425
1631107,Nikola Jović,1.9357142857142915
1631108,Max Christie,-0.8437500000000089
1631110,Jeremy Sochan,1.3472222222222234
1631114,Jalen Williams,0.144642857142853
1631116,Patrick Baldwin Jr.,-2.3200000000000074
1631117,Walker Kessler,-0.3107142857142846
1631119,Jaylin Williams,-0.5083333333333411
1631121,Bryce McGowens,-1.4333333333333385
1631124,Julian Strawther,-3.987499999999997
1631128,Christian Braun,-1.1777777777777867
1631133,Jabari Walker,0.633333333333336
1631165,Keon Ellis,1.5124999999999904
1631170,Jaime Jaquez Jr.,0.7291666666666679
1631172,Ousmane Dieng,-4.200000000000003
1631200,Kris Murray,2.930000000000001
1631204,Marcus Sasser,3.727083333333341
1631207,Dalen Terry,2.9357142857142877
1631212,Peyton Watson,-1.1666666666666587
1631216,Caleb Houstan,-5.3416666666666615
1631218,Trayce Jackson-Davis,1.8555555555555532
1631222,Jake LaRavia,2.5500000000000007
1631223,David Roddy,-0.3559523809523783
1631230,Dominick Barlow,-0.835714285714287
1631241,Javon Freeman-Liberty,-3.33124999999999
1631246,Vince Williams Jr.,1.7861111111111194
1631260,AJ Green,3.7375000000000007
1631288,Jamal Cain,0.5499999999999972
1631303,Justin Minaya,2.187500000000007
1631311,Lester Quinones,0.5000000000000071
1631323,Simone Fontecchio,0.5034090909090897
1631367,Jacob Gilyard,5.44642857142858
1641705,Victor Wembanyama,-0.3888888888888904
1641706,Brandon Miller,-2.512500000000006
1641707,Taylor Hendricks,-3.837499999999994
1641708,Amen Thompson,-0.9812500000000108
1641709,Ausar Thompson,0.7346153846153822
1641710,Anthony Black,-1.3562500000000028
1641711,Gradey Dick,-3.4692307692307645
1641712,Rayan Rupert,-1.3349999999999895
1641713,GG Jackson,1.3727272727272748
1641715,Cam Whitmore,0.5333333333333314
1641716,Jarace Walker,4.750000000000007
1641717,Cason Wallace,-0.3500000000000103
1641718,Keyonte George,-4.388636363636353
1641722,Jordan Hawkins,-1.585000000000008
1641726,Dereck Lively II,1.655555555555553
1641729,Brice Sensabaugh,-8.066666666666663
1641730,Noah Clowney,-2.3625000000000043
1641731,Bilal Coulibaly,-4.050000000000002
1641733,Nick Smith Jr.,-2.503124999999999
1641739,Toumani Camara,0.2111111111111125
1641748,Andre Jackson Jr.,-4.242857142857139
1641764,Brandin Podziemski,3.066666666666665
1641767,Ben Sheppard,1.0227272727272791
1641778,Leaky Black,1.5000000000000142
1641854,Craig Porter Jr.,2.385714285714286
1641871,Duop Reath,1.8583333333333376
1641877,Nathan Mensah,-8.050000000000011
1641931,Onuralp Bitim,-0.1999999999999886
1641998,Trey Jemison III,0.2375000000000042
